,Importance,Std
0_Skewness,-1.403016485443942e-05,3.1719069253484944e-05
0_Mean diff,7.716590669941681e-05,4.910557699053797e-05
0_Peak to peak distance,0.00012393312288088153,7.173090915552705e-05
0_Spectral centroid,0.00018239214310771245,4.88264071502973e-05
0_Centroid,0.0002034373903893716,5.233959846978414e-05
0_Absolute energy,0.00025020460657083633,6.450655547356979e-05
0_Spectral kurtosis,0.0003694610078335714,5.413696669141676e-05
0_Zero crossing rate,0.0004045364199696699,5.920256705798812e-05
0_Entropy,0.0004325967496785488,7.702405748627803e-05
0_Spectral positive turning points,0.0005354846252777268,6.650982183243286e-05
Scale_14.5,0.000610312171168037,0.000109404303194551
0_Mean absolute deviation,0.000661756108967626,6.102180919301897e-05
0_Interquartile range,0.0007038466035309332,9.321235322342162e-05
0_Spectral roll-off,0.0007412603764761049,0.00010141587018452062
0_Negative turning points,0.0007412603764761049,6.940639345099191e-05
0_Power bandwidth,0.0008535016953116203,9.711941848380081e-05
0_Spectral distance,0.0009423594060564034,6.618015525821258e-05
0_Neighbourhood peaks,0.0009914649830469412,0.00010095654458050538
0_Max,0.0011247515491640935,8.651934993568034e-05
0_Spectral decrease,0.0013702794341167058,0.00014980116803972734
0_Mean,0.0013702794341167058,8.76183514331512e-05
0_Spectral spread,0.002394481468490617,0.0001990218433854951
0_Spectral variation,0.002492692622471704,0.00014610545400970065
0_Max power spectrum,0.00374839237694381,0.00015228097888613618
Scale_1.0,0.004255816672512613,0.00013514026214708367
0_Min,0.007337776218870584,0.00024363879392273
0_Kurtosis,0.00965041505904365,0.0002233226391227535
0_Autocorrelation,0.01139950894423013,0.00022189799710012323
0_Slope,0.011818075529054173,0.0002825839137616497
0_Spectral entropy,0.015928913831404223,0.00040525890949870755
