,test,predict
61400,0,0
28185,0,0
22417,0,0
102032,0,0
130075,0,0
99305,1,0
24594,0,0
138012,0,0
97790,0,0
47570,0,0
20436,1,0
306,0,0
43372,1,0
23932,1,1
109903,0,0
118898,1,0
50259,0,0
99525,0,0
19364,0,0
20630,1,0
93636,1,1
62857,1,0
94995,0,0
137575,0,0
1301,0,0
133757,0,0
112338,0,0
59348,0,0
133642,0,0
98488,0,0
33275,0,0
105118,1,0
50119,0,0
97593,0,0
7770,1,0
93574,1,0
87737,1,0
125963,0,0
113801,0,0
87562,1,0
132655,1,0
6279,0,0
133850,0,0
4842,0,0
27374,0,0
96139,0,0
72687,1,0
51488,0,0
129712,0,0
115322,1,0
108040,0,0
123956,1,0
104365,0,0
17316,0,0
135095,0,0
142200,1,0
111221,0,0
127634,0,0
35786,0,0
115715,1,0
117550,0,0
82553,0,0
87111,0,0
15697,1,1
766,0,0
84453,0,0
100808,1,1
48101,0,0
121859,0,0
31370,0,0
73051,0,0
18334,0,0
105164,1,0
17270,0,0
26656,0,0
83267,0,0
9779,0,0
139519,0,0
15206,1,0
90143,0,0
109074,0,0
102912,0,0
59285,0,0
117547,0,0
132747,1,0
128750,0,0
22334,0,0
3427,0,0
52283,0,0
90754,0,0
123696,1,0
3026,0,0
98900,1,0
36885,0,0
77137,1,0
55040,1,0
38020,0,0
48466,0,1
75166,1,0
107115,1,0
68852,0,0
134086,0,0
114002,0,0
40387,0,0
125328,0,0
64050,0,0
104951,1,0
138851,0,0
79956,0,0
8013,0,0
83229,0,0
140689,0,0
4655,0,1
110466,0,0
114956,0,0
107967,0,0
6132,0,0
83504,0,0
38450,1,0
138230,0,0
109129,0,0
140668,0,0
27361,0,0
13105,1,0
42827,1,0
32893,1,1
130823,0,0
109868,0,0
70021,0,0
19815,0,0
15005,1,0
29300,1,0
108652,0,0
11257,1,0
114758,0,0
136888,1,1
106576,0,0
106195,0,0
113182,0,0
18585,0,0
117505,0,0
109232,0,0
106127,0,0
26966,0,0
18167,0,0
136151,1,0
71400,0,0
93639,1,1
65860,0,0
57754,0,0
79743,0,0
127330,0,0
22493,0,0
97464,0,1
101354,0,0
81621,0,0
29215,0,0
1807,0,0
93748,1,1
122209,0,0
24839,0,0
140301,1,0
84295,0,0
87120,0,0
13667,0,0
31264,0,0
34926,1,0
119507,1,0
82845,0,0
25097,0,0
81519,0,0
30897,0,0
1628,0,0
137341,0,0
112764,0,0
62600,1,0
95949,0,0
26803,0,0
125242,0,0
107377,1,0
58384,1,0
106395,0,0
6271,0,0
7017,1,0
126973,0,1
43262,1,0
50211,0,0
99770,1,0
41249,0,0
107389,1,0
109922,0,0
82174,0,0
42162,0,0
108227,0,0
96587,1,0
90174,0,0
97359,0,0
46957,0,0
132654,1,0
121344,0,0
49505,0,0
138250,0,0
42599,1,0
110935,0,0
9356,0,0
73209,0,0
74784,0,0
108268,0,0
12242,0,0
141740,0,0
17548,0,0
142252,1,0
34963,1,0
136380,1,0
6534,0,0
89123,0,1
36545,0,0
138539,0,0
47752,0,0
19938,0,0
87724,1,0
93852,1,1
126692,0,0
17423,0,0
320,0,0
107612,0,0
27874,0,0
345,0,0
14412,0,0
90062,0,0
129342,0,1
90604,0,0
79901,0,0
6903,1,0
101078,1,0
17032,0,0
99349,1,0
68911,0,0
106709,0,0
67987,1,0
63803,0,0
5353,0,0
95183,0,0
98458,0,0
52467,0,0
92477,0,0
12677,0,0
63422,0,0
100606,1,0
100270,1,0
15448,1,1
38903,1,1
106285,0,0
52631,0,0
25454,0,0
81722,0,0
67196,0,0
108395,0,0
142147,1,0
107278,1,0
41694,0,0
135488,0,0
120346,0,0
89690,0,0
60506,0,0
65067,0,0
135988,1,0
99304,1,0
38935,1,1
3596,0,0
71524,0,0
39042,1,1
61268,0,0
110926,0,0
88092,0,0
126090,0,0
11504,1,1
9608,0,0
3119,0,0
44280,0,0
17207,0,0
29255,1,0
68006,1,0
11931,0,1
131462,0,0
99594,0,0
20380,1,0
21647,0,0
141059,0,0
97066,1,1
106858,1,0
88355,0,0
141435,0,0
3243,0,0
91064,0,0
68991,0,0
112828,0,0
77126,1,0
113403,0,0
117194,0,0
39798,0,0
33781,0,0
48164,0,0
109854,0,0
86327,1,0
23028,0,0
84781,0,0
117296,0,0
139183,0,1
39554,0,0
32338,1,0
1487,0,0
50994,1,0
22321,0,0
72841,1,0
48785,0,0
60628,0,0
134288,0,0
49893,0,0
65785,0,0
142493,1,0
21191,1,1
72481,1,0
24192,1,0
43681,0,0
40905,0,0
69582,0,0
129213,0,1
53388,1,0
139830,1,0
77160,1,0
22240,0,0
126418,0,0
35250,1,0
125767,0,0
114365,0,0
37238,0,0
40666,0,1
106676,0,0
66264,1,1
64307,0,0
36246,0,0
73267,0,0
38928,1,1
57186,0,0
91859,0,0
96742,1,0
113739,0,0
48381,0,0
17845,0,0
29914,1,0
111717,0,0
33651,0,0
103892,1,0
131228,0,0
114497,0,0
127853,0,0
82918,0,0
35899,0,0
111781,0,0
111596,0,0
61253,0,0
41046,0,0
41600,0,0
16372,0,0
10890,1,0
69690,0,0
99560,0,0
21045,1,0
48832,0,0
117660,0,0
114957,0,0
102044,0,0
22532,0,0
51295,0,0
101607,0,0
30569,0,0
88704,1,1
100387,1,0
31317,0,0
109018,0,0
121945,0,0
11521,1,1
28618,0,0
36954,0,0
117178,0,0
84825,0,0
107574,0,0
13985,0,0
134073,0,0
140317,1,0
25207,0,0
85696,0,0
92233,0,0
51415,0,0
15261,1,0
73071,0,0
73227,0,0
122372,0,0
15541,1,0
56119,1,0
22804,0,0
130890,0,0
23145,0,0
120175,0,0
34414,0,0
46592,1,0
97855,0,0
63732,0,0
2051,0,0
116128,0,0
93921,0,0
129516,0,1
138862,0,0
141338,0,0
105128,1,0
68106,1,0
79299,0,0
10651,1,0
122342,0,0
123247,0,0
130673,0,0
5619,0,0
85248,0,0
55405,1,0
67345,0,0
27490,0,1
139363,0,0
24206,1,1
57425,0,0
20190,0,0
141389,0,0
103335,0,0
118483,1,0
129122,0,0
132653,1,0
30315,1,0
77957,0,0
103302,0,0
60018,0,0
2033,0,0
19858,0,0
99637,0,0
37996,0,0
9679,0,0
77411,0,0
103117,0,0
47173,0,0
113167,0,0
133001,1,1
80448,1,0
49692,0,0
27451,0,0
139742,0,0
66428,1,1
141857,1,0
14201,0,0
54005,0,0
98971,1,0
111467,0,0
108590,0,0
42048,0,0
102963,0,0
89724,0,0
4485,0,0
80418,1,0
108199,0,0
80549,1,0
116006,1,0
48566,0,0
13846,0,0
6732,0,0
65962,0,0
17627,0,0
130190,0,0
49978,0,0
9400,0,0
100165,1,0
124880,0,0
41248,0,0
79082,0,0
123739,1,1
118595,1,0
101418,0,0
16917,0,0
27795,0,0
72127,1,0
1087,0,1
91194,0,0
20835,1,1
98853,0,0
47655,0,0
105533,0,0
123912,1,0
83713,0,0
122671,0,0
126546,0,0
15209,1,0
108240,0,0
75578,1,0
103268,0,0
98010,0,0
29260,1,0
21243,1,1
26383,1,0
106259,0,0
82660,0,0
89599,0,0
106296,0,0
76876,1,0
105805,0,0
100710,1,0
67858,0,0
22849,0,0
21492,1,1
58213,0,0
27603,0,0
16885,0,0
44882,0,0
12480,0,0
19779,0,0
120558,0,0
71469,0,0
131197,0,0
21550,1,0
6345,0,0
92958,1,0
43326,1,1
83771,0,0
72724,1,0
115848,1,0
108816,0,0
74404,0,0
72450,1,0
113597,0,0
32169,0,0
76482,1,0
39654,0,0
7794,1,0
127638,0,0
62720,1,0
36626,0,0
43115,1,1
9555,0,0
32060,0,0
133969,0,0
11693,0,1
93067,1,0
83064,0,0
63919,0,0
52998,0,0
41731,0,0
62486,1,0
100362,1,0
141234,0,0
33579,0,0
119984,0,0
70628,1,0
78952,0,0
93809,1,1
37845,0,0
88478,0,0
23624,1,0
92417,0,0
28735,0,0
125850,0,0
119518,1,0
126387,0,0
46130,0,0
33998,0,0
135358,0,0
5056,0,0
28372,0,0
87800,1,0
97450,0,0
93734,1,1
55200,1,0
42853,1,0
27434,0,1
104937,1,0
10843,1,0
5395,0,0
98761,0,0
72173,1,0
129024,0,0
130850,0,0
34945,1,0
13996,0,0
136966,0,0
28173,0,0
45210,0,0
8323,0,1
79902,0,0
110832,0,0
32937,1,1
83933,0,0
67619,0,0
24992,0,0
129959,0,0
84806,0,0
73337,0,0
69399,0,0
60786,0,0
36245,0,0
23467,1,0
107582,0,0
15456,1,1
125350,0,0
18541,0,0
92487,0,0
46506,1,0
16392,0,0
87112,0,0
80968,1,1
112234,0,0
41097,0,0
46680,1,0
14520,0,0
107430,0,0
99043,1,0
22751,0,0
32080,0,0
44025,0,0
107890,0,0
63351,0,0
88069,0,0
22593,0,0
25658,0,0
23608,1,0
89548,0,0
11965,0,1
76369,1,0
77026,1,0
57343,0,0
59262,0,0
32880,1,0
75618,1,0
33010,1,1
24235,1,0
4163,0,0
77271,1,0
110825,0,0
63111,0,0
102894,0,0
93461,1,0
56000,1,0
107878,0,0
76875,1,0
11296,1,0
125097,0,0
53653,1,0
37109,0,0
85744,0,0
2869,0,0
84345,0,0
29708,1,0
112068,0,0
133109,1,0
103598,0,0
72604,1,0
53736,1,0
57203,0,0
139647,0,0
83211,0,0
14437,0,0
54838,1,0
93698,1,1
45139,0,0
72592,1,0
24212,1,1
77278,1,0
44272,0,0
121470,0,0
116139,0,0
1102,0,0
11836,0,1
40919,0,0
53268,0,0
10765,1,0
97760,0,0
21463,1,1
30962,0,0
82325,0,0
29743,1,0
87382,0,0
119672,0,0
122563,0,0
118247,0,0
65107,0,0
36216,0,0
4672,0,0
21337,1,1
137090,0,0
124537,0,0
2278,0,0
14844,1,0
66836,0,1
10199,0,0
24757,0,0
12977,1,0
32826,1,0
47881,0,0
64789,0,0
72399,1,0
100118,1,0
105788,0,0
99407,1,0
91058,0,0
29526,1,0
85369,0,0
32302,1,0
116738,0,0
73591,0,0
7483,1,1
117159,0,0
20979,1,1
135105,0,0
62146,0,0
107475,0,0
53858,1,0
126344,0,0
50363,0,0
83899,0,0
115341,1,0
95532,0,0
53240,0,0
61009,0,0
123106,0,0
28560,0,0
45458,0,0
122583,0,0
78968,0,0
8352,0,0
127613,0,0
104548,1,0
21956,0,0
27049,0,0
11147,1,1
120478,0,0
36350,0,1
43572,0,0
89769,0,0
18534,0,0
85698,0,0
40000,0,0
18546,0,0
9873,0,0
117514,0,0
133561,0,0
81405,0,1
127919,0,0
45929,0,0
110212,0,0
59291,0,0
24302,1,1
77178,1,0
104371,0,0
96156,0,0
116077,1,0
60009,0,0
133127,1,0
82938,0,0
134925,0,0
48534,0,0
96,0,0
33077,1,1
87501,1,0
95371,0,0
30880,0,0
80152,0,0
106917,1,0
129260,0,1
94149,0,0
34016,0,0
